,code,id,loss,name,position,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
0,3,1,0,Arsenal,2,ARS,4,1320,1325,1350,1350,1290,1300,1
1,7,2,0,Aston Villa,19,AVL,3,1125,1250,1110,1200,1140,1300,2
2,90,3,0,Burnley,17,BUR,2,1050,1050,1050,1050,1050,1050,43
3,91,4,0,Bournemouth,4,BOU,3,1150,1180,1100,1160,1200,1200,127
4,94,5,0,Brentford,12,BRE,3,1120,1185,1080,1080,1160,1290,130
5,36,6,0,Brighton,13,BHA,3,1150,1175,1090,1140,1210,1210,131
6,8,7,0,Chelsea,5,CHE,4,1185,1245,1150,1190,1220,1300,4
7,31,8,0,Crystal Palace,9,CRY,3,1140,1160,1120,1130,1160,1190,6
8,11,9,0,Everton,6,EVE,3,1100,1115,1140,1140,1060,1090,7
9,54,10,0,Fulham,11,FUL,3,1125,1125,1130,1130,1120,1120,34
10,2,11,0,Leeds,16,LEE,2,1050,1075,1050,1050,1050,1100,9
11,14,12,0,Liverpool,1,LIV,5,1335,1355,1290,1330,1380,1380,10
12,43,13,0,Man City,8,MCI,4,1275,1315,1250,1250,1300,1380,11
13,1,14,0,Man Utd,14,MUN,3,1105,1125,1110,1110,1100,1140,12
14,4,15,0,Newcastle,10,NEW,4,1185,1245,1130,1170,1240,1320,23
15,17,16,0,Nott'm Forest,15,NFO,3,1165,1205,1150,1230,1180,1180,15
16,56,17,0,Sunderland,7,SUN,2,1050,1050,1050,1050,1050,1050,29
17,6,18,0,Spurs,3,TOT,3,1130,1175,1100,1100,1160,1250,21
18,21,19,0,West Ham,18,WHU,3,1100,1100,1100,1100,1100,1100,25
19,39,20,0,Wolves,20,WOL,3,1100,1125,1080,1100,1120,1150,38
